"<ID|readonly|noverify>";"<English>";"<Russian>";"<German>"
"contract/contract_secret_collect_tower_sensor";"Working Tower Sensor";"Работающий сенсор с вышки";"Funktionierender Turmsensor"
"contract/contract_secret_collect_tower_sensor/desc";"This is a very interesting device. We'll study it thoroughly and get back to you when we get any new info.";"Это очень интересный прибор. Мы тщательно изучим его и свяжемся с вами, как только у нас появится новая информация.";"Dies ist ein sehr interessantes Gerät. Wir werden es gründlich untersuchen und dich benachrichtigen, sobald wir neue Informationen haben."
"contract/contract_secret_collect_tower_sensor/progress";"Successfully extract with the valuable item";"Успешно эвакуируйтесь с ценным предметом";"Evakuiere erfolgreich mit dem wertvollen Gegenstand"
"contract/contract_tower_sensor_place_device";"Quarry Secrets";"Секреты карьера";"Geheimnisse des Abbaugebiets"
"contract/contract_tower_sensor_place_device/desc";"We've analyzed the sensor you brought us. It was used to triangulate the location of a place that was important to the people who set the sensors. Limited data we've acquired suggests it's somewhere in the vicinity of the quarry.

Your mission is to install this device in the designated area. We've boosted its capabilities so one device should be enough.";"Мы проанализировали сенсор, которое вы нам принесли. Они использовались для триангуляции места, чем-то важного для людей, установивших датчики. Ограниченные данные, которые мы получили, указывают, что оно было где-то в районе карьера.

Ваша задача - установить данное устройство в обозначенной зоне. Мы усилили его мощность, так что одного устройства должно быть достаточно.";"Wir haben den Sensor, den du uns gebracht hast, analysiert. Er wurde verwendet, um den Standort eines Ortes zu triangulieren, der für die Menschen, die die Sensoren gesetzt haben, von Bedeutung war. Die begrenzten Daten, die wir erhalten haben, deuten darauf hin, dass er sich in der Nähe des Abbaugebiets befindet.

Deine Aufgabe ist es, dieses Gerät im angegebenen Gebiet zu installieren. Wir haben seine Fähigkeiten verstärkt, sodass ein Gerät ausreicht."
"contract/contract_tower_sensor_place_device/progress";"Place sensor in designated area in the middle of the quarry";"Установите датчик в указанной области в центре карьера";"Platziere Sensor im markierten Bereich in der Mitte des Steinbruchs"
"contract/contract_secret_docs_stash_journal";"Observation Journal";"Журнал наблюдений";"Beobachtungsjournal"
"contract/contract_secret_docs_stash_journal/desc";"This is a lot of interesting info in this journal. We'll study it thoroughly and get back to you when we learn anything useful.";"В этом журнале много интересной информации. Мы тщательно изучим её и свяжемся с вами, когда узнаем что-то полезное.";"In diesem Journal befinden sich viele interessante Informationen. Wir werden es gründlich untersuchen und dich benachrichtigen, sobald wir etwas Nützliches herausgefunden haben."
"contract/contract_secret_docs_stash_journal/progress";"Successfully extract with the valuable item";"Успешно эвакуируйтесь с ценным предметом";"Evakuiere erfolgreich mit dem wertvollen Gegenstand"
"contract/contract_docs_stash_open_safe";"Scientists Concerns";"Опасения учёных";"Bedenken der Wissenschaftler"
"contract/contract_docs_stash_open_safe/desc";"It seems that the journal you brought us belonged to a soldier who was assigned to monitor a group of scientists working on one of Dalniy's secret projects. The scientists questioned the feasibility and safety of the project and conducted their own research, which did not please their superiors.

They stored their documents in a safe somewhere in the substation near the church. Go there and retrieve them for us.";"Кажется, тот журнал, что вы нам принесли, принадлежал военному, которого поставили наблюдать за группой ученых, работавших над одним из секретных проектов Дальнего. Ученые задавались вопросами о целесообразности и безопасности проекта и проводили собственные исследования, что не нравилось их руководству.

Свои документы они хранили в сейфе где-то в подстанции недалеко от церкви. Отправляйтесь туда и добудьте нам их.";"Es scheint, dass das Journal, das du uns gebracht hast, einem Soldaten gehörte, der damit beauftragt war, eine Gruppe von Wissenschaftlern zu überwachen, die an einem der geheimen Projekte von Dalniy arbeiteten. Die Wissenschaftler stellten die Machbarkeit und Sicherheit des Projekts infrage und führten eigene Forschungen durch, was ihren Vorgesetzten missfiel.

Sie bewahrten ihre Dokumente in einem Safe irgendwo in der Unterstation nahe der Kirche auf. Gehe dort hin und hole sie für uns."
"contract/contract_docs_stash_open_safe/progress";"Search the place for documents and successfully extract with them";"Найдите документы в помещении и успешно эвакуируйтесь с ними";"Durchsuche den Ort nach Dokumenten und evakuiere erfolgreich mit ihnen"
"contract/contract_secret_ship_journal";"Ship's Log";"Судовой журнал";"Schiffstagebuch"
"contract/contract_secret_ship_journal/desc";"This log can help us learn more about that ship. We'll study it thoroughly and get back to you when we get any new info.";"Этот журнал может помочь нам больше узнать о том корабле. Мы тщательно изучим его и свяжемся с вами, как только у нас появится новая информация.";"Dieses Tagebuch kann uns helfen, mehr über das Schiff zu erfahren. Wir werden es gründlich untersuchen und dich benachrichtigen, sobald wir neue Informationen haben."
"contract/contract_secret_ship_journal/progress";"Successfully extract with the valuable item";"Успешно эвакуируйтесь с ценным предметом";"Evakuiere erfolgreich mit dem wertvollen Gegenstand"
"contract/contract_underwater_container_open";"Lost Cargo";"Потерянный груз";"Verlorene Fracht"
"contract/contract_underwater_container_open/desc";"The examination of the ship's log revealed interesting details. The vessel was transporting a container with weapons and highly valuable military-grade electronics.

As a result of the accident, the container likely ended up at the bottom of the sea not far from the coast. Proceed to the provided coordinates, locate the sunken container, and deliver the lost cargo to us.";"Изучение судового журнала выявило интересные детали. То судно транспортировало контейнер с оружием и очень ценной электроникой военного назначения.

В результате аварии контейнер с большой вероятностью оказался на дне неподалеку от побережья. Отправляйтесь по данным координатам, отыщите утонувший контейнер и доставьте нам потерянный груз.";"Die Untersuchung des Schiffstagebuchs ergab interessante Details. Das Schiff transportierte einen Container mit Waffen und hochgradiger Militärtechnik.

Durch den Unfall ist der Container wahrscheinlich nicht weit von der Küste im Meer gelandet. Gehe zu den angegebenen Koordinaten, finde den versunkenen Container und bringe die verlorene Fracht zu uns."
"contract/contract_underwater_container_open/progress";"Search underwater for the lost container and successfully extract with the cargo";"Найдите потерянный контейнер под водой и успешно эвакуируйтесь с грузом";"Durchsuche unter Wasser nach dem verlorenen Container und evakuiere erfolgreich mit der Ladung"
"contract/contract_secret_collect_coast_evacuation_plans";"Coast Evacuation Plans";"Планы по эвакуации на берег";"Evakuierungspläne der Küste"
"contract/contract_secret_collect_coast_evacuation_plans/desc";"Evacuation plans can tell us a lot about the situation that went over there. We'll study them and get in touch with you as soon as we find out anything new.";"Планы эвакуации могут рассказать нам много о ситуации, которая развернулась там. Мы изучим их и свяжемся с вами, как только мы выясним что-то новое.";"Evakuierungspläne können uns viel über die Situation dort erzählen. Wir werden sie untersuchen und uns mit dir in Verbindung setzen, sobald wir neue Informationen haben."
"contract/contract_secret_collect_coast_evacuation_plans/progress";"Successfully extract with the valuable item";"Успешно эвакуируйтесь с ценным предметом";"Evakuiere erfolgreich mit dem wertvollen Gegenstand"
"contract/contract_coast_evacuation_ship_explore";"Evacuation Ship";"Эвакуационное судно";"Evakuierungsschiff"
"contract/contract_coast_evacuation_ship_explore/desc";"According to the plan you brought, a militia squad received orders to escort a group of civilians, among whom was a rather important scientific personnel, to the evacuation ship waiting for them on the coast. However, something went wrong, and the group had to retreat into the woods and take defensive positions there. The ship was supposed to transport not only people but also important documents and samples that are of special interest to us.

Locate the evacuation ship, retrieve the container with documents from it, and deliver it to us.";"Судя по принесенному вами плану, отряд милиции получил приказ по сопровождению группы гражданских, в числе которых находился довольно важный научный персонал, к эвакуационному судну, ожидавших их на побережье. Но что-то пошло не так, и группе пришлось отступить в лес и занять там оборонительные позиции. При этом корабль должен быть перевезти не только людей, но и важные документы и образцы, которые представляют для нас особый интерес.

Разыщите эвакуационное судно, заберите с него контейнер с документами и доставьте его нам.";"Laut dem Plan, den du gebracht hast, erhielt ein Miliztrupp den Befehl, eine Gruppe von Zivilisten, unter denen sich ein wichtiger wissenschaftlicher Mitarbeiter befand, zum Evakuierungsschiff zu eskortieren, das auf sie an der Küste wartete. Etwas ging jedoch schief, und die Gruppe musste in den Wald fliehen und dort Verteidigungspositionen einnehmen. Das Schiff sollte nicht nur Menschen transportieren, sondern auch wichtige Dokumente und Proben, die für uns von besonderem Interesse sind.

Finde das Evakuierungsschiff, hole den Container mit den Dokumenten von dort und bringe ihn zu uns."
"contract/contract_coast_evacuation_ship_explore/progress";"Search the ship for the container with documents and successfully extract with it";"Найдите контейнер с документами на корабле и успешно эвакуируйтесь с ним";"Durchsuche das Schiff nach dem Container mit Dokumenten und evakuiere erfolgreich mit ihm"
"contract/contract_secret_collect_medical_personnel_evacuation_order";"Medical Personnel Evacuation Order";"Приказ по эвакуации медперсонала";"Evakuierungsbefehl für das medizinische Personal"
"contract/contract_secret_collect_medical_personnel_evacuation_order/desc";"If we find out what exactly happened with medical personnel, we may get new valuable info. We'll study the evacuation orders and get back to you when we get any new info.";"Если мы выясним, что произошло с медицинским персоналом, мы можем получить новую ценную информацию. Мы изучим приказы об эвакуации и свяжемся с вами, как только получим какие-либо новые данные.";"Wenn wir herausfinden, was genau mit dem medizinischen Personal passiert ist, könnten wir neue wertvolle Informationen erhalten. Wir werden die Evakuierungsbefehle untersuchen und uns mit dir in Verbindung setzen, wenn wir neue Erkenntnisse haben."
"contract/contract_secret_collect_medical_personnel_evacuation_order/progress";"Successfully extract with the valuable item";"Успешно эвакуируйтесь с ценным предметом";"Evakuiere erfolgreich mit dem wertvollen Gegenstand"
"contract/contract_hospital_docs_open_safe";"Medical Records Retrieval";"Поиск медицинских записей";"Medizinische Aktenbeschaffung"
"contract/contract_hospital_docs_open_safe/desc";"That helicopter you found was supposed to evacuate personnel and all medical records from the hospital. Unfortunately, on the route to there, helicopter has lost control and crashed. This means medical records are still somewhere inside the hospital and we would very much like to get our hands on them.

Search the director's room on the second floor for the documents and bring them back.";"Тот вертолёт, что вы обнаружили, должен был эвакуировать персонал и все медицинские записи из поликлиники. К сожалению, на пути к ней вертолёт потерял управление и разбился. Это означает, что медицинские записи все ещё где-то внутри поликлиники, и нам очень хотелось бы получить их.

Обыщите кабинет директора на втором этаже, найдите эти документы и принесите их обратно.";"Der Hubschrauber, den du gefunden hast, sollte das Personal und alle medizinischen Akten aus dem Krankenhaus evakuieren. Leider hat der Hubschrauber auf dem Weg dorthin die Kontrolle verloren und ist abgestürzt. Das bedeutet, dass die medizinischen Akten immer noch irgendwo im Krankenhaus sind, und wir würden sie sehr gerne in die Hände bekommen.

Durchsuche das Büro des Direktors im zweiten Stock nach den Dokumenten und bringe sie zurück."
"contract/contract_hospital_docs_open_safe/progress";"Search the second floor of the hospital for documents and successfully extract with them";"Найдите документы на втором этаже поликлиники и успешно эвакуируйтесь с ними";"Durchsuche das zweite Stockwerk des Krankenhauses nach Dokumenten und evakuiere erfolgreich mit ihnen"
"contract/contract_secret_collect_crashed_scientist_car_documents";"Folder with Several Documents";"Папка с несколькими документами";"Ordner mit mehreren Dokumenten"
"contract/contract_secret_collect_crashed_scientist_car_documents/desc";"There are a lot of interesting documents inside this folder. We'll go through them and get back to you when we find anything valuable.";"В этой папке много интересных документов. Мы их просмотрим и свяжемся с вами, когда найдем что-то ценное.";"In diesem Ordner befinden sich viele interessante Dokumente. Wir werden sie durchsehen und uns mit dir in Verbindung setzen, sobald wir etwas Wertvolles finden."
"contract/contract_secret_collect_crashed_scientist_car_documents/progress";"Successfully extract with the valuable item";"Успешно эвакуируйтесь с ценным предметом";"Evakuiere erfolgreich mit dem wertvollen Gegenstand"
"contract/contract_vehicle_development_documents_photo";"Vehicle Development Lab";"Лаборатория по разработке транспортных средств";"Fahrzeugentwicklungs-Labor"
"contract/contract_vehicle_development_documents_photo/desc";"The wrecked car from which you retrieved the folder belonged to one of the researchers working on the development of vehicles for military purposes. When things went wrong on the island, he was ordered to urgently deliver all research findings to headquarters. However, in panic, he forgot most of the documents in the lab and apparently never made it to his destination.

Head to the laboratory at the military base and take photos of all the remaining documents there.";"Разбитая машина, из которой вы достали папку, принадлежала одному из исследователей, занимавшихся разработкой транспортных средств для военных целей. Когда дела на острове пошли не так, ему был отдан приказ срочно доставить все результаты исследований в штаб. Однако, в панике, он забыл большую часть документов в лаборатории и, похоже, так никогда и не добрался до цели.

Отправляйтесь в лабораторию на военной базе и сделайте фото всех оставшихся там документов.";"Das zerstörte Auto, aus dem du den Ordner geholt hast, gehörte einem der Forscher, der an der Entwicklung von Fahrzeugen für militärische Zwecke arbeitete. Als die Dinge auf der Insel schief gingen, erhielt er den Befehl, alle Forschungsergebnisse dringend zum Hauptquartier zu bringen. In der Panik vergaß er jedoch die meisten Dokumente im Labor und erreichte sein Ziel anscheinend nie.

Gehe zum Labor auf der Militärbasis und mache Fotos von allen verbleibenden Dokumenten dort."
"contract/contract_vehicle_development_documents_photo/progress";"Enter the room on the second floor and take photo of documents on the wall";"Зайдите в комнату на втором этаже и сделайте фото документов на стене";"Betritt den Raum im zweiten Stock und fotografiere die Dokumente an der Wand"
"contract/contract_secret_collect_homemade_am_container_journal";"Homemade Active Matter Storage";"Самодельный контейнер для хранения Активной Материи";"Selbstgemachte Aufbewahrung für Aktive Materie"
"contract/contract_secret_collect_homemade_am_container_journal/desc";"This device seems to be very intricate. We'll test it and get back to you when we get any new info.";"Это устройство выглядит очень замысловатым. Мы проведем тесты с ним и свяжемся, когда получим какую-либо новую информацию.";"Dieses Gerät scheint sehr komplex zu sein. Wir werden es testen und uns mit dir in Verbindung setzen, sobald wir neue Informationen haben."
"contract/contract_secret_collect_homemade_am_container_journal/progress";"Successfully extract with the valuable item";"Успешно эвакуируйтесь с ценным предметом";"Evakuiere erfolgreich mit dem wertvollen Gegenstand"
"contract/contract_find_spike_room_scientist_body";"Find the Body";"Поиск тела";"Finde den Körper"
"contract/contract_find_spike_room_scientist_body/desc";"Seems like the diary author was a scientist that found Active Matter and decided to handle it himself. Though judging by his room it wasn't a successful attempt. He was exposed to Active Matter and passed away during his second trip to the nearby forest.

His homemade storage system may contain useful technology, so you should locate his body and retrieve the container.";"Похоже, автор дневника был ученым, который обнаружил Активную Материю и решил самостоятельно с ней разобраться. Однако, судя по его комнате, попытка не увенчалась успехом. Он подвергнулся воздействию Активной Материи и скончался во время своего второго похода в близлежащий лес.

Его самодельная система хранения может содержать полезные технологии, поэтому вам следует найти его тело и принести контейнер нам.";"Es scheint, dass der Autor des Tagebuchs ein Wissenschaftler war, der Active Matter entdeckte und beschloss, es selbst zu handhaben. Judging nach seinem Raum war es jedoch kein erfolgreicher Versuch. Er wurde Active Matter ausgesetzt und starb während seiner zweiten Reise in den nahegelegenen Wald.

Sein selbstgebautes Speichersystem könnte nützliche Technologie enthalten, daher solltest du seinen Körper finden und den Behälter mitnehmen."
"contract/contract_find_spike_room_scientist_body/progress";"Search the forest for the body and successfully extract with the container";"Найдите тело в лесу и успешно эвакуируйтесь с контейнером";"Durchsuche den Wald nach der Leiche und evakuiere erfolgreich mit dem Container"
"contract/contract_secret_collect_smuggler_map";"Weird Map";"Странная карта";"Seltsame Karte"
"contract/contract_secret_collect_smuggler_map/desc";"This map may contain some useful data. We'll try to decrypt it and get back to you when we get any new info.";"Эта карта может содержать полезные для нас данные. Мы попытаемся расшифровать ее и свяжемся с вами, как только у нас появится новая информация.";"Diese Karte könnte einige nützliche Daten enthalten. Wir werden versuchen, sie zu entschlüsseln und uns mit dir in Verbindung setzen, sobald wir neue Informationen haben."
"contract/contract_secret_collect_smuggler_map/progress";"Successfully extract with the valuable item";"Успешно эвакуируйтесь с ценным предметом";"Evakuiere erfolgreich mit dem wertvollen Gegenstand"
"contract/contract_smuggler_base_explore";"Smugglers Base of Operation";"База операций контрабандистов";"Smuggler Base of Operation"
"contract/contract_smuggler_base_explore/desc";"We have decrypted the map. It points somewhere to the coast, where smugglers were storing their cargo before loading it onto the ships at night. Not only they transported weapons illegally, but also valuable scientific devices.

Find that hidden place, search it thoroughly and bring us all the scientific cargo you can find there.";"Мы расшифровали карту. Она указывает на точку на побережье, где контрабандисты хранили свой груз перед загрузкой на корабли по ночам. Они не только незаконно перевозили оружие, но и ценные научные приборы.

Найдите это скрытое место, тщательно его обыщите и принесите нам все научные грузы, которые сможете там найти.";"Wir haben die Karte entschlüsselt. Sie zeigt auf einen Ort an der Küste, wo Schmuggler ihre Fracht vor dem Verladen auf die Schiffe in der Nacht lagerte. Sie transportierten nicht nur illegal Waffen, sondern auch wertvolle wissenschaftliche Geräte.

Finde diesen versteckten Ort, durchsuche ihn gründlich und bringe uns die gesamte wissenschaftliche Fracht, die du dort finden kannst."
"contract/contract_smuggler_base_explore/progress";"Search the coast for the hidden smugglers base and successfully extract with the cargo";"Обыщите базу контрабандистов, спрятанную на побережье, и успешно эвакуируйтесь с грузом";"Durchsuche die Küste nach dem versteckten Schmugglerversteck und evakuiere erfolgreich mit der Ladung"
"contract/contract_secret_scientist_escort_order";"Escort order";"Приказ по сопровождению";"Begleitbefehl"
"contract/contract_secret_scientist_escort_order/desc";"These orders can help us locate the scientist and his work. We'll try to determine his location and get back to you when we get any new info.";"Этот приказ может помочь нам обнаружить ученого и результаты его работы. Мы попытаемся определить его местоположение и свяжемся с вами, как только у нас появится новая информация.";"Diese Befehle können uns helfen, den Wissenschaftler und seine Arbeiten zu finden. Wir werden versuchen, seinen Standort zu bestimmen und uns mit dir in Verbindung setzen, sobald wir neue Informationen haben."
"contract/contract_secret_scientist_escort_order/progress";"Successfully extract with the valuable item";"Успешно эвакуируйтесь с ценным предметом";"Evakuiere erfolgreich mit dem wertvollen Gegenstand"
"contract/contract_escort_scientist_home_explore";"Forgotten";"Забытый";"Vergessen"
"contract/contract_escort_scientist_home_explore/desc";"The order regarding protection concerned a certain comrade Aleshin, the head of the department for the development and implementation of military technologies. The squad was supposed to arrive at his house and escort Aleshin to the evacuation point, also taking all the project blueprints with them. However, the squad was killed on the way there, and in the haste of the evacuation, the scientist was forgotten.

According to our information, the blueprints remained at his house, and no other squads were sent to retrieve them. Proceed there, search the entire house, and bring all valuable documents to us.";"Отданный приказ по охране касался некоего товарища Алешина, руководителя отделом по разработке и внедрению военных технологий. Отряд должен был прибыть к его дому и сопроводить Алешина к месту эвакуации, забрав также с собой все чертежи проекта. Но отряд был уничтожен на пути, и в спешке эвакуации про ученого забыли.

По нашей информации, чертежи так и остались у него дома, других отрядов за ними уже не посылали. Отправляйтесь туда, обыщите весь дом и доставьте все ценные документы нам.";"Der Befehl zum Schutz betraf einen bestimmten Kameraden Aleshin, den Leiter der Abteilung für die Entwicklung und Umsetzung militärischer Technologien. Das Team sollte zu seinem Haus fahren und Aleshin zum Evakuierungspunkt eskortieren, wobei auch alle Projektpläne mitgenommen werden sollten. Das Team wurde jedoch auf dem Weg dorthin getötet, und in der Eile der Evakuierung wurde der Wissenschaftler vergessen.

Laut unseren Informationen blieben die Pläne in seinem Haus, und es wurden keine anderen Teams geschickt, um sie zu holen. Gehe dorthin, durchsuche das gesamte Haus und bringe alle wertvollen Dokumente zu uns."
"contract/contract_escort_scientist_home_explore/progress";"Search the house for the blueprints and successfully extract with them";"Найдите чертежи в доме и успешно эвакуируйтесь с ними";"Durchsuche das Haus nach den Bauplänen und evakuiere erfolgreich mit ihnen"
"contract/contract_primary_place_sensor";"Place Device";"Установите оборудование";"Gerät Platzieren"
"contract/contract_primary_place_sensor/desc";"To expand our catalogue of weapons and equipment that can be replicated from zone items we require more data about them.

Journey to the specified area and install a sensor, this will help us obtain more accurate spacetime coordinates of useful items.";"Для расширения нашего каталога оружия и оборудования, реплицируемых из предметов зоны, нам нужны дополнительные данные о них.

Отправьтесь в указанную область и установите датчик, это поможет нам получить более точные пространственно-временные координаты полезных предметов.";"Um unseren Katalog an Waffen und Ausrüstungen, die aus Zone-Gegenständen repliziert werden können, zu erweitern, benötigen wir mehr Daten darüber.

Reise zu dem angegebenen Gebiet und installiere einen Sensor. Dies wird uns helfen, genauere Raum-Zeit-Koordinaten für nützliche Gegenstände zu erhalten."
"contract/contract_primary_place_sensor/progress";"Place sensors in designated area";"Установите датчики в указанной области";"Platziere Sensoren im markierten Bereich"
"contract/contract_primary_successful_extract";"Extract from Zone";"Эвакуируйтесь из Зоны";"Extraktion aus der Zone"
"contract/contract_primary_successful_extract/desc";"Extraction is a very important part of raiding the Zone. It allows you to bring valuable items and information back to your Shelter.

Locate the portal on the map, reach it and extract through it.";"Эвакуация - очень важная часть рейда в Зону. Она позволяет вам приносить ценные предметы и информацию обратно в ваше Убежище.

Найдите портал на карте, доберитесь до него и эвакуируйтесь через него.";"Die Extraktion ist ein sehr wichtiger Teil des Raids in der Zone. Sie ermöglicht es dir, wertvolle Gegenstände und Informationen zurück in dein Unterschlupf zu bringen.

Finde das Portal auf der Karte, erreiche es und extrahiere durch es."
"contract/contract_primary_successful_extract/progress";"Complete all mandatory contracts and get access to an early extraction";"Выполните все обязательные контракты и получите доступ к ранней экстракции";"Schließe alle verpflichtenden Verträge ab und erhalte Zugang zu einer frühen Evakuierung"
"contract/contract_primary_mindcontrolled";"Extract Proxy";"Эвакуируйте Прокси";"Extrahiere Proxy"
"contract/contract_primary_mindcontrolled/desc";"Humans changed under the influence of Active Matter are of great interest for study. Agency technology allows you to take control of such a creature and make it your <accented>proxy</accented>. Your task is to bring it to the extraction portal.

You will use the equipment belonging to the proxy.

As a <accented>reward, you will receive all the equipment</accented> of the proxy.

You can also find conversion points during the raid and <accented>by transforming into a monster, hunt down other operatives</accented>.";"Люди, видоизменённые под воздействием Активной Материи, представляют огромный интерес для изучения. Технологии Агентства позволяют взять под контроль такое существо, сделав его своим <accented>прокси</accented>. Ваша задача — доставить его к порталу экстракции.

Вы будете использовать экипировку взятого под контроль прокси.

В качестве <accented>награды вы получите всё снаряжение</accented> прокси.

Вы также можете обнаружить точки превращения во время рейда и, <accented>превратившись в монстра, поохотиться на других оперативников</accented>.";"Menschen, die unter dem Einfluss von Active Matter verändert wurden, sind von großem Interesse für die Forschung. Die Technologie der Agentur ermöglicht es, die Kontrolle über solch ein Wesen zu übernehmen und es zu deinem <accented>Proxy</accented> zu machen. Deine Aufgabe ist es, es zum Extraktionsportal zu bringen.
 Du wirst die Ausrüstung des Proxys benutzen.
 Als <accented>Belohnung erhältst du die gesamte Ausrüstung</accented> des Proxys.
 Du kannst auch während des Einsatzes Umwandlungspunkte finden und <accented>indem du dich in ein Monster verwandelst, andere Agenten jagen</accented>."
"contract/contract_primary_mindcontrolled/progress";"Reach the portal and extract through it";"Доберитесь до портала и эвакуируйтесь через него";"Zum Portal gelangen und hindurch extrahieren"
"contract/contract_primary_extract_enriched_item";"Collect and Extract Items";"Соберите и эвакуируйте предметы";"Gegenstände sammeln und extrahieren"
"contract/contract_primary_extract_enriched_item/desc";"In the Zone, some items that were desired by people or held sentimental value attract Active Matter. We call that state Enriched. To study this phenomenon further, the Agency needs a steady supply of enriched items.

During the raid, pick up required enriched item and bring it through the portal with you.";"В Зоне некоторые предметы, которые были желанны для людей или имели для них сентиментальную ценность, привлекают Активную Материю. Мы называем это состояние Обогащённым. Для более глубокого изучения этого явления Агентству необходим постоянный поток обогащённых предметов.

Во время рейда подберите необходимый обогащённый предмет и пронесите его с собой через портал.";"In der Zone ziehen bestimmte Gegenstände, die von Menschen gewünscht oder von sentimentalem Wert sind, Aktive Materie an. Wir nennen diesen Zustand ""Angereichert"". Um dieses Phänomen weiter zu untersuchen, benötigt die Agentur eine konstante Versorgung mit angereicherten Gegenständen."
"contract/contract_primary_extract_enriched_item/progress";"Collect and extract enriched items of the required type - <accented>{itemType}</accented>";"Найдите и успешно эвакуируйтесь с обогащенными предметами заданного типа - <accented>{itemType}</accented>";"Sammle und evakuiere angereicherte Gegenstände des erforderlichen Typs – <accented>{itemType}</accented>"
"contract/contract_primary_extract_enriched_item/progress/generic";"Collect items that will be specified in the raid and successfully extract through the portal";"Соберите обогащенные предметы, которые будут указаны в рейде, и успешно эвакуируйтесь с ними через портал";"Sammle die Gegenstände, die im Überfall angegeben werden, und evakuiere erfolgreich durch das Portal"
"contract/contract_primary_protect_sensor";"Place and Protect Device";"Установите и защитите оборудование";"Gerät platzieren und schützen"
"contract/contract_primary_protect_sensor/desc";"A special sensor was developed to study the impact of Active Matter on various biological forms. The sensor's operation is not detected by human senses, but it causes aggression in nearby creatures.

You need to place the sensor in one of the specified zones and then wait for it to finish collecting scientific data.";"Для изучения воздействия Активной Материи на разнообразные биологические формы был разработан специальный сенсор. Работа сенсора не фиксируется органами чувств человека, но вызывает агрессию у находящихся поблизости существ.

Вам необходимо установить сенсор в одной из указанных зон, а затем дождаться, пока он закончит сбор научных данных.";"Ein spezieller Sensor wurde entwickelt, um die Auswirkungen der Aktiven Materie auf verschiedene biologische Formen zu untersuchen. Die Funktionsweise des Sensors ist für den Menschen nicht erkennbar, jedoch ruft er Aggressionen bei nahegelegenen Kreaturen hervor.

Plaziere den Sensor in einer der angegebenen Zonen und warte, bis er die wissenschaftlichen Daten gesammelt hat."
"contract/contract_primary_protect_sensor/progress";"Place and protect the sensor";"Установите сенсор и защищайте его";"Platziere und beschütze den Sensor"
"contract/contract_primary_collect_am";"Collect Active Matter";"Соберите Активную Материю";"Sammle Aktive Materie"
"contract/contract_primary_collect_am/desc";"Active Matter is still a mystery to our scientists. It is a dangerous substance that can create anomalies and affect living organisms. But with careful use, it can also benefit our cause. Phenomenal scientific discoveries, item replications, military applications - all of this is possible thanks to the special properties of Active Matter.

Not to mention it's a very valuable resource. Collect Active Matter from the Zone and successfully bring it to your base.";"Активная Материя до сих пор остается загадкой для наших ученых. Это опасная субстанция, способная создавать аномалии и воздействовать на живые организмы. Однако при осторожном использовании она также может приносить пользу нашему делу. Феноменальные научные открытия, репликация предметов, военные применения - все это возможно благодаря особым свойствам Активной Материи.

Не говоря уже о том, что это очень ценный ресурс. Соберите Активную Материю в Зоне и успешно доставьте ее на вашу базу.";"Aktive Materie ist für unsere Wissenschaftler immer noch ein Rätsel. Es handelt sich um eine gefährliche Substanz, die Anomalien erzeugen und lebende Organismen beeinflussen kann. Mit vorsichtiger Nutzung kann sie jedoch auch unserer Sache zugutekommen. Phänomenale wissenschaftliche Entdeckungen, Gegenstand-Replikationen, militärische Anwendungen – all dies ist dank der besonderen Eigenschaften der Aktiven Materie möglich. Ganz zu schweigen davon, dass es eine sehr wertvolle Ressource ist. Sammle Aktive Materie in der Zone und bringe sie erfolgreich zu deiner Basis."
"contract/contract_primary_collect_am/progress";"Collect Active Matter and successfully extract with it";"Соберите Активную Материю и успешно эвакуируйтесь с ней";"Sammle Aktive Materie und evakuiere erfolgreich mit ihr"
"contract/contract_primary_collect_am_night";"Collect Active Matter";"Соберите Активную Материю";"Sammle Aktive Materie"
"contract/contract_primary_collect_am_night/desc";"Active Matter is still a mystery to our scientists. It is a dangerous substance that can create anomalies and affect living organisms. But with careful use, it can also benefit our cause. Phenomenal scientific discoveries, item replications, military applications - all of this is possible thanks to the special properties of Active Matter.

Not to mention it's a very valuable resource. Collect Active Matter from the Zone and successfully bring it to your base.";"Активная Материя до сих пор остается загадкой для наших ученых. Это опасная субстанция, способная создавать аномалии и воздействовать на живые организмы. Однако при осторожном использовании она также может приносить пользу нашему делу. Феноменальные научные открытия, репликация предметов, военные применения - все это возможно благодаря особым свойствам Активной Материи.

Не говоря уже о том, что это очень ценный ресурс. Соберите Активную Материю в Зоне и успешно доставьте ее на вашу базу.";"Aktive Materie ist für unsere Wissenschaftler immer noch ein Rätsel. Es handelt sich um eine gefährliche Substanz, die Anomalien erzeugen und lebende Organismen beeinflussen kann. Mit vorsichtiger Nutzung kann sie jedoch auch unserer Sache zugutekommen. Phänomenale wissenschaftliche Entdeckungen, Gegenstand-Replikationen, militärische Anwendungen – all dies ist dank der besonderen Eigenschaften der Aktiven Materie möglich.

Ganz zu schweigen davon, dass es eine sehr wertvolle Ressource ist. Sammle Aktive Materie in der Zone und bringe sie erfolgreich zu deiner Basis."
"contract/contract_primary_collect_am_night/progress";"Collect Active Matter and successfully extract with it";"Соберите Активную Материю и успешно эвакуируйтесь с ней";"Sammle Aktive Materie und evakuiere erfolgreich mit ihr"
